Name,Symptoms
Aplastic Anemia,"Fatigue, pale skin, frequent infections, shortness of breath, rapid or irregular heartbeats, prolonged bleeding or bruising"
Overflow Incontinence,"Frequent or constant dribbling of urine, inability to completely empty the bladder, weak urine stream"
Rabies,"Flu-like symptoms (fever, headache, fatigue), anxiety, confusion, hallucinations, difficulty swallowing"
Hemolytic Anemia,"Fatigue, weakness, pale skin, shortness of breath, jaundice"
Lateral Epicondylitis (Tennis Elbow),"Pain or tenderness on the outer side of the elbow, weak grip strength, difficulty with forearm movements"
Syphilis,"Primary stage: painless sores (chancre) at the site of infection, secondary stage: skin rash, fever, swollen lymph nodes, sore throat, latent stage: no symptoms, tertiary stage: severe complications affecting the heart, brain, and other organs"
Diabetic Kidney Disease,"High blood pressure, increased need to urinate, swelling in the legs and ankles, fatigue, nausea, loss of appetite"
Nose Disorder,"Nasal congestion, runny nose, sneezing, facial pain or pressure, loss of smell"
Drug Withdrawal,"Anxiety, restlessness, irritability, tremors, sweating, nausea, vomiting, insomnia, drug cravings"
Dental Caries,"Toothache, tooth sensitivity, visible pits or holes in the teeth, dark spots on the teeth, bad breath"
Hypercholesterolemia,"High levels of cholesterol in the blood, fatty deposits (xanthomas) on the skin or tendons, chest pain or angina, heart attacks, strokes"
Fracture of the Patella,"Severe pain, swelling, bruising, difficulty straightening or bending the knee, deformity"
Kidney Failure,"Decreased urine output, fluid retention, fatigue, shortness of breath, nausea, confusion, chest pain, seizures"
Fracture of the Neck,"Severe neck pain, swelling, tenderness, difficulty moving or turning the head, numbness or weakness in the arms or legs"
Muscle Spasm,"Sudden, involuntary muscle contractions, muscle pain, stiffness, limited range of motion"
Hemophilia,"Excessive bleeding and bruising, prolonged bleeding from wounds or after dental work or surgery, spontaneous bleeding in joints or muscles"
Hyperosmotic Hyperketotic State,"Increased blood sugar levels, increased ketone production, excessive thirst, frequent urination, fatigue, confusion, fruity breath odor"
Peritonsillar Abscess,"Severe sore throat, difficulty swallowing, fever, swollen tonsils, voice changes, neck pain or stiffness"
Gastroparesis,"Nausea, vomiting, early satiety, bloating, abdominal pain, poor appetite"
Fat Embolism,"Respiratory distress, chest pain, confusion, petechial rash (small red or purple spots), neurological symptoms"
Polycythemia Vera,"Increased red blood cell count, fatigue, headache, dizziness, itching, enlarged spleen"
Thrombocytopenia,"Easy bruising, prolonged bleeding from cuts, petechiae (red or purple spots on the skin), nosebleeds, excessive menstrual bleeding"
Head and Neck Cancer,"Persistent sore throat, difficulty swallowing, voice changes, ear pain, neck mass, weight loss"
Pseudohypoparathyroidism,"Hypocalcemia (low calcium levels), tetany (muscle spasms), short stature, rounded face"
Goiter,"Enlarged thyroid gland in the neck, swelling or visible protrusion, difficulty swallowing or breathing"
Urge Incontinence,"Sudden, intense urge to urinate followed by involuntary urine leakage"
Edward Syndrome,"Developmental delays, intellectual disability, distinct facial features (small jaw, low-set ears), heart defects"
Muscular Dystrophy,"Progressive muscle weakness and degeneration, difficulty walking or moving, muscle wasting"
Mittelschmerz,Lower abdominal pain and discomfort occurring around the time of ovulation
Corneal Abrasion,"Eye pain, redness, foreign body sensation, sensitivity to light"
Anemia of Chronic Disease,"Fatigue, weakness, pale skin, shortness of breath, decreased exercise tolerance"
Dysthymic Disorder,"Persistent depressive symptoms (low mood, lack of interest, changes in sleep and appetite), lasting for at least two years"
Scarlet Fever,"Sore throat, fever, rash (red, sandpaper-like), swollen glands"
Hypertensive Heart Disease,"High blood pressure, chest pain or discomfort, shortness of breath, fatigue"
Drug Abuse (Barbiturates),"Sedation, drowsiness, slurred speech, confusion, respiratory depression"
Polycystic Ovarian Syndrome,"Irregular periods, excessive hair growth, acne, weight gain, ovarian cysts"
Encephalitis,"Headache, fever, confusion, seizures, neurological symptoms"
Cyst of the Eyelid,"Painful lump or swelling on the eyelid, redness, tenderness"
Balanitis,"Inflammation of the glans penis (tip of the penis), redness, swelling, pain"
Foreign Body in the Throat,"Sensation of a foreign object stuck in the throat, difficulty swallowing or speaking"
Drug Abuse (Cocaine),"Euphoria, increased energy, dilated pupils, rapid heart rate, high blood pressure, risk of heart attack or stroke"
Optic Neuritis,"Vision loss or blurry vision, eye pain with eye movement, color vision impairment, flashing lights or floaters"
Intestinal Malabsorption,"Chronic diarrhea, weight loss, abdominal pain or bloating, nutrient deficiencies (vitamins, minerals), fatigue, failure to thrive"
Lead Poisoning,"Fatigue, abdominal pain, joint pain, memory loss or cognitive difficulties, developmental delays (in children), anemia"
Viral Warts,"Small, rough growths on the skin or mucous membranes, typically painless, may appear in clusters or as single lesions"
Hyperhidrosis,"Excessive sweating (beyond what is necessary for temperature regulation), typically in specific areas (such as palms, soles, underarms), may interfere with daily activities"
Stroke,"Sudden numbness or weakness of the face, arm, or leg (typically on one side of the body), confusion, trouble speaking or understanding, severe headache"
Pilonidal Cyst,"Pain or discomfort in the tailbone area, swelling, redness, drainage of pus or blood, abscess formation"
Crushing Injury,"Severe pain, swelling, deformity, bruising, difficulty moving or using the affected area"
Normal Pressure Hydrocephalus,"Gait disturbances, urinary incontinence, cognitive decline or dementia-like symptoms"
Alopecia,"Hair loss or balding, patchy or generalized hair loss"
Hashimoto Thyroiditis,"Fatigue, weight gain, constipation, dry skin, depression, muscle aches and stiffness, sensitivity to cold"
Flat Feet,"Foot pain or achiness, difficulty with foot and ankle movement, foot fatigue, swelling"
Nonalcoholic Liver Disease (NASH),"Fatigue, abdominal swelling or pain, enlarged liver, elevated liver enzymes, insulin resistance"
Hemarthrosis,"Joint swelling, pain, warmth, limited range of motion"
Pelvic Organ Prolapse,"Pelvic pressure or heaviness, urinary incontinence, bowel movement difficulties, discomfort or pain during intercourse"
Fracture of the Arm,"Pain, swelling, deformity, limited mobility or difficulty moving the arm, bruising"
Coagulation (Bleeding) Disorder,"Easy bruising, prolonged bleeding after injury or surgery, excessive bleeding from minor cuts or abrasions, frequent nosebleeds, heavy menstrual bleeding"
Intracranial Hemorrhage,"Severe headache, nausea or vomiting, changes in vision, loss of consciousness, seizures"
Hyperkalemia,"Muscle weakness or fatigue, irregular heartbeat or palpitations, numbness or tingling, nausea or vomiting"
Cornea Infection,"Eye redness, pain or discomfort, blurred or decreased vision, increased sensitivity to light"
Abscess of the Lung,"Cough with phlegm or pus, chest pain, fever, shortness of breath, fatigue"
Dengue Fever,"High fever, severe headache, joint and muscle pain, rash, nausea or vomiting, bleeding tendencies"
Chronic Sinusitis,"Facial pain or pressure, nasal congestion, thick nasal discharge, postnasal drip, cough, fatigue"
Cholesteatoma,"Ear pain, hearing loss, ear drainage, dizziness or vertigo, tinnitus"
Volvulus,"Abdominal pain, nausea, vomiting, bloating, constipation, bloody stool"
Injury to the Finger,"Pain, swelling, bruising, deformity, restricted range of motion, difficulty gripping or using the finger"
Poisoning due to Analgesics,"Nausea, vomiting, abdominal pain, liver or kidney damage, dizziness, confusion, respiratory distress"
Atrial Fibrillation,"Irregular or rapid heartbeat, palpitations, shortness of breath, chest pain or discomfort, dizziness or lightheadedness, fatigue"
Pinworm Infection,"Itching around the anus or vagina, restless sleep, irritability, anal or vaginal discharge, abdominal pain or discomfort, loss of appetite"
Urethral Valves,"Difficulty or poor urinary stream, urinary tract infections, urinary frequency or urgency, abdominal distension, poor weight gain"
Migraine,"Severe headaches, nausea, sensitivity to light and sound"
Arthritis,"Joint pain, stiffness, swelling"
Sciatica,"Lower back pain, leg pain, numbness or tingling"
Complex Regional Pain Syndrome (CRPS),"Intense burning pain, swelling, changes in skin temperature"
Lupus,"Joint pain, fatigue, skin rashes"
Endometriosis,"Pelvic pain, painful periods, infertility"
Chronic Headache,"Persistent head pain, tension in neck and shoulders"
Dry Skin,"Dry, flaky skin with itching"
Eczema,"Itchy, red, inflamed skin, rash"
Psoriasis,"Red, scaly patches on the skin, itching"
Scabies,"Intense itching, especially at night, small blisters or bumps"
Urticaria (Hives),"Raised, itchy welts on the skin"
Insect Bites,"Red, swollen, itchy bumps"
Contact Dermatitis,"Itchy, red rash caused by contact with irritants or allergens"
Dermatitis due to Sun Exposure,"Sunburn-like rash, redness, itching"
Parasitic Infections,"Intense itching, visible lice or nits in the affected area"
Influenza (Flu),"High fever, body aches, fatigue, cough, sore throat, congestion"
Urinary Tract Infection (UTI),"Frequent urination, burning sensation during urination, cloudy or bloody urine, pelvic pain"
Bronchitis,"Persistent cough with yellow or green mucus, chest congestion, fatigue"
Gastroenteritis (Stomach Flu),"Nausea, vomiting, diarrhea, abdominal pain or cramps, fever"
Urinary Stones (Kidney Stones),"Severe abdominal or back pain, blood in urine, frequent urination, pain during urination"
Osteoporosis,"Fragile bones, loss of height over time, back pain, fractures"
Rheumatoid Arthritis,"Joint pain, stiffness, swelling, fatigue, loss of appetite"
Type 1 Diabetes,"Frequent urination, Increased thirst, Weight loss"
Type 2 Diabetes,"Fatigue, Increased hunger, Slow healing of wounds"
